Country,Total cases,Cases before Lockdown,1st week,2nd week,3rd week,4th week,5th week,Recovered,Lockdowon implied after ,dip after lockdown days,Lockdown days,Deaths,Lockdown started,Lockdown ended/supposed,First Case on,dip date
Hungary,2098,256,554,1001,1400,1799,,287,24,18,28,213,28/03/20,25/04/20,04/03/20,15/04/20
China,82758,554,7417,26302,51591,56301,43258,77123,67,25,76,4632,23/01/20,08/04/20,17/11/19,17/02/20
Argentina,3031,152,504,1045,1518,1880,,737,18,9,36,142,21/03/20,26/04/20,03/03/20,30/03/20
Switzerland,27944,2199,7245,12934,13970,11609,8547,18600,20,11,42,1436,16/03/20,27/04/20,25/02/20,27/03/20
Germany,147065,22071,48781,68248,65181,53786,,95200,24,16,43,4862,22/03/20,04/05/20,27/02/20,07/04/20
Malaysia,5482,386,1157,2047,2596,2499,2103,3349,51,21,43,92,16/03/20,28/04/20,25/01/20,06/04/20
Czech Republic,6914,94,519,1638,3489,4980,5316,1597,11,33,49,196,12/03/20,30/04/20,01/03/20,14/04/20
Austria,14873,648,2975,7978,9088,6865,4014,10971,19,20,47,491,15/03/20,01/05/20,25/02/20,04/04/20
New Zealand,1445,256,624,927,649,371,,1006,27,12,27,13,26/03/20,22/04/20,28/02/20,07/04/20
Denmark,7695,673,1144,1835,2174,3662,3535,4312,15,19,33,364,13/03/20,15/04/20,27/02/20,01/04/20
Norway,7156,628,1584,3064,4820,5909,6615,32,15,27,39,182,12/03/20,20/04/20,26/02/20,08/04/20
France,155383,5284,16796,33599,71849,94094,97709,37409,53,16,55,20265,17/03/20,11/05/20,24/01/20,02/04/20
Iran,84802,18821,31954,28495,20472,12499,,60965,38,9,14,5297,28/03/20,11/04/20,19/02/20,06/04/20
Finland,4014,268,689,1329,1849,2705,1770,2000,48,16,29,98,17/03/20,15/04/20,29/01/20,02/04/20
Jordan,425,83,216,247,195,135,,282,19,13,40,7,21/03/20,30/04/20,02/03/20,03/04/20
South Africa,3300,697,1325,1732,2062,2392,,1055,21,15,35,58,26/03/20,30/04/20,05/03/20,10/04/20
Peru,16235,43,312,639,759,4928,7388,6968,9,16,26,445,15/03/20,10/04/20,06/03/20,31/03/20
Thailand,2811,1355,1451,1033,615,197,,2108,81,4,27,48,03/04/20,30/04/20,13/01/20,07/04/20
Slovenia,1335,57,285,513,816,931,1022,193,8,21,39,77,12/03/20,20/04/20,04/03/20,02/04/20
India,18658,536,1397,4778,10453,14700,,3273,55,,,592,25/03/20,,30/01/20,
